rest_name,rest_address,time_open,price,avg_score,quality_score,price_score,service_score,space_score,location_score,link,Location,Cate,rest_id
Vina Chuối - Bạch Vân,"1 Bạch Vân, P. 5, Quận 5, TP. HCM",08:20 - 20:00,8.000 - 8.000,6.4,7.0,6.0,7.0,6.0,6.0,https://www.foody.vn/ho-chi-minh/vina-chuoi-bach-van,TPHCM,An Vat Via He,564
Topping Beef - Steakhouse - Mạc Đĩnh Chi,"32 Mạc Đĩnh Chi, Quận 1, TP. HCM",10:00 - 22:00,40.000 - 120.000,7.1,7.0,7.1,6.4,7.5,7.6,https://www.foody.vn/ho-chi-minh/topping-beef,TPHCM,Nha Hang,443
Vina Chuối - Chu Văn An,"396 Chu Văn An, P. 12, Quận Bình Thạnh, TP. HCM",08:45 - 19:30,10.000 - 100.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/vina-chuoi-chu-van-an,TPHCM,An Vat Via He,964
InterContinental Saigon Hotel & Residences,"Góc Đường Hai Bà Trưng & Lê Duẩn, P. Bến Nghé, Quận 1, TP. HCM",Đang mở cửa  Cả ngày,4.000.000 - 10.000.000,8.5,8.8,7.5,8.5,8.9,8.6,https://www.foody.vn/ho-chi-minh/intercontinental-saigon-hotel-residences,TPHCM,Nha Hang,46
InterContinental Saigon Hotel & Residences,"Góc Đường Hai Bà Trưng & Lê Duẩn, P. Bến Nghé, Quận 1, TP. HCM",Đang mở cửa  Cả ngày,4.000.000 - 10.000.000,8.5,8.8,7.5,8.5,8.9,8.6,https://www.foody.vn/ho-chi-minh/intercontinental-saigon-hotel-residences,TPHCM,Sang Trong,46
Vina Chuối - Xô Viết Nghệ Tĩnh,"47 Xô Viết Nghệ Tĩnh, P. 17, Quận Bình Thạnh, TP. HCM",09:00 - 19:00,10.000 - 200.000,10.0,10.0,10.0,10.0,10.0,10.0,https://www.foody.vn/ho-chi-minh/vina-chuoi-xo-viet-nghe-tinh,TPHCM,An Vat Via He,481
Vina Chuối - Hai Bà Trưng,"135 Hai Bà Trưng, P. Bến Nghé, Quận 1, TP. HCM",08:45 - 19:30,10.000 - 200.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/vina-chuoi-hai-ba-trung,TPHCM,An Vat Via He,689
Topping Beef - Nguyễn Thị Minh Khai,"106 Nguyễn Thị Minh Khai, P. 6, Quận 3, TP. HCM",11:00 - 23:00,100.000 - 300.000,6.8,7.0,6.8,6.3,7.2,6.7,https://www.foody.vn/ho-chi-minh/topping-beef-nguyen-thi-minh-khai,TPHCM,Nha Hang,414
Quán Bụi - Authentic Vietnamese Cuisine,"19 Ngô Văn Năm, P. Bến Nghé, Quận 1, TP. HCM",10:00 - 22:00,150.000 - 550.000,7.2,7.4,6.3,7.0,7.7,7.6,https://www.foody.vn/ho-chi-minh/quan-bui-authentic-vietnamese-cuisine,TPHCM,Nha Hang,353
Fruit Crush - Trái Cây Tươi & Ăn Vặt - Nguyễn Thị Minh Khai,"25/5 Nguyễn Thị Minh Khai, P. Bến Nghé, Quận 1, TP. HCM",10:00 - 21:00,19.000 - 79.000,8.0,8.2,8.1,8.2,7.4,8.4,https://www.foody.vn/ho-chi-minh/fruit-crush-trai-cay-tuoi-an-vat-nguyen-thi-minh-khai,TPHCM,An Vat Via He,986
