,rest_name,rest_address,time_open,price,avg_score,quality_score,price_score,service_score,space_score,location_score,link,Location,Cate,rest_id
980,Thai Express - Món Thái - AEON Mall Bình Tân,"Tầng 3,  T24, Tầng 3, TTMS Aeon Mall Bình Tân - 01 Đướng Số 17A, Khu Phố 11, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",11:00 - 20:00,100.000 - 200.000,6.6,6.9,6.1,6.4,6.7,6.8,https://www.foody.vn/ho-chi-minh/thai-express-mon-thai-aeon-mall-binh-tan,TPHCM,Nha Hang,554
981,Tasaki BBQ - Nướng Than Hoa Nhật Bản - SC VivoCity,"Tầng 2,  Tầng 2, SC VivoCity, 1058 Nguyễn Văn Linh, KP. 1, P. Tân Phong, Quận 7, TP. HCM",10:00 - 21:15,30.000 - 1.200.000,7.5,8.2,6.7,7.5,7.8,7.4,https://www.foody.vn/ho-chi-minh/tasaki-bbq-sc-vivocity,TPHCM,Nha Hang,694
982,Thai Express - Món Thái - Vạn Hạnh Mall,"Tầng 5,  12 Vạn Hạnh Mall, 11 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",11:00 - 20:00,100.000 - 200.000,7.2,7.3,6.8,7.1,7.3,7.4,https://www.foody.vn/ho-chi-minh/thai-express-mon-thai-van-hanh-mall,TPHCM,Nha Hang,594
983,Chanh Bistro Rooftop Saigon - Calmette,"Rooftop, 171 Calmette, P. Bến Thành, Quận 1, TP. HCM",10:30 - 23:00,25.000 - 450.000,8.1,8.2,7.5,8.0,8.3,8.4,https://www.foody.vn/ho-chi-minh/chanh-bistro-rooftop-nha-hang-mon-au,TPHCM,Nha Hang,1185
984,Thai Express - Món Thái - AEON Mall Tân Phú,"Tầng 3,  Tầng 3 AEON Mall Tân Phú, 30 Bờ Bao Tân Thắng, P. Sơn Kỳ, Quận Tân Phú, TP. HCM",11:00 - 20:00,55.000 - 170.000,7.1,6.6,7.0,7.8,7.2,6.8,https://www.foody.vn/ho-chi-minh/thai-express-mon-thai-aeon-mall-tan-phu,TPHCM,Nha Hang,258
985,Chanh Bistro Rooftop Saigon - Lý Tự Trọng,"Rooftop, 215 Lý Tự Trọng, P. Bến Thành, Quận 1, TP. HCM",10:30 - 23:45,25.000 - 450.000,8.6,8.8,7.6,9.0,9.1,8.5,https://www.foody.vn/ho-chi-minh/chanh-bistro-rooftop-saigon-ly-tu-trong,TPHCM,Nha Hang,695
986,Sushi Masa - Thạch Thị Thanh,"52 Thạch Thị Thanh, P. Tân Định, Quận 1, TP. HCM",11:00 - 22:00,39.000 - 129.000,7.7,7.9,7.7,7.8,7.4,7.6,https://www.foody.vn/ho-chi-minh/sushi-masa,TPHCM,Nha Hang,237
987,Gánh - Đặc Sản Nha Trang - Phạm Ngọc Thạch,"58/4 Phạm Ngọc Thạch, Quận 3, TP. HCM",08:00 - 23:00,60.000 - 132.000,6.5,6.6,5.7,6.2,7.1,6.8,https://www.foody.vn/ho-chi-minh/nem-nuong-ganh-dac-san-nha-trang-pham-ngoc-thach,TPHCM,Nha Hang,718
988,Sushi Masa - Lê Văn Sỹ,"78 Lê Văn Sỹ, P. 11, Quận Phú Nhuận, TP. HCM",11:00 - 22:00,12.000 - 858.000,7.9,8.1,7.7,7.9,7.7,7.9,https://www.foody.vn/ho-chi-minh/sushi-masa-le-van-sy,TPHCM,Nha Hang,179
989,Gánh - Đặc Sản Nha Trang - Hai Bà Trưng,"91 Hai Bà Trưng, P. Bến Nghé, Quận 1, TP. HCM",Đang cập nhật,50.000 - 200.000,7.1,7.1,6.3,7.1,7.5,7.5,https://www.foody.vn/ho-chi-minh/ganh-dac-san-nha-trang-hai-ba-trung,TPHCM,Nha Hang,1034
990,Gánh - Đặc Sản Nha Trang,"91 Hai Bà Trưng, P. Bến Nghé, Quận 1, TP. HCM",09:00 - 23:00,20.000 - 150.000,,5.9,5.3,5.3,6.3,6.1,https://www.foody.vn/ho-chi-minh/ganh-dac-san-nha-trang,TPHCM,Nha Hang,925
991,Uraetei BBQ - Phổ Đình - Nam Kỳ Khởi Nghĩa,"69-71 Nam Kỳ Khởi Nghĩa, P. Bến Thành, Quận 1, TP. HCM",11:00 - 23:00,200.000 - 660.000,7.5,7.9,6.8,7.2,7.6,7.8,https://www.foody.vn/ho-chi-minh/pho-dinh-nam-ky-khoi-nghia,TPHCM,Nha Hang,481
992,Dao Hua - Taiwanese Hotpot Paradise - Hoàng Hoa Thám,"63B Hoàng Hoa Thám, P. 13, Quận Tân Bình, TP. HCM",11:00 - 22:00,50.000 - 200.000,7.3,7.2,7.3,7.1,7.5,7.5,https://www.foody.vn/ho-chi-minh/dao-hua-taiwanese-hotpot-paradise-hoang-hoa-tham,TPHCM,Nha Hang,204
993,Uraetei BBQ - Phổ Đình - AEON Mall,"Tầng 1,  Tầng 1 AEON Mall, 30 Bờ Bao Tân Thắng, P. Sơn Kỳ, Quận Tân Phú, TP. HCM",11:00 - 22:00,150.000 - 550.000,7.5,8.0,6.5,7.4,7.9,7.7,https://www.foody.vn/ho-chi-minh/uraetei-pho-dinh-aeon-mall,TPHCM,Nha Hang,847
994,Dao Hua - Taiwanese Hotpot Paradise - Estella Place,"Tầng 3,  Tầng 3, L3 - L10 Estella Place, 88 Song Hành, P. An Phú, Quận 2, TP. HCM",11:00 - 22:00,50.000 - 300.000,8.2,8.2,7.7,8.5,8.5,7.9,https://www.foody.vn/ho-chi-minh/dao-hua-taiwanese-hotpot-paradise-estella-place,TPHCM,Nha Hang,827
995,Buffet Ăn Vặt,"343/6 Nguyễn Tri Phương, Quận 10, TP. HCM",09:00 - 22:00,80.000 - 100.000,,4.5,5.5,4.5,5.5,6.0,https://www.foody.vn/ho-chi-minh/buffet-an-vat,TPHCM,Buffet,816
996,Uraetei BBQ - Phổ Đình - Hoàng Văn Thái,"73 Hoàng Văn Thái, P. Tân Phú, Quận 7, TP. HCM",11:00 - 23:00,200.000 - 660.000,6.9,7.1,6.7,6.5,7.3,7.1,https://www.foody.vn/ho-chi-minh/uraetei-bbq-pho-dinh-hoang-van-thai,TPHCM,Nha Hang,725
