,food_id,rest_id,food_name,food_price
272,1107,29,Đậu hũ hoàng kim,95040.0
273,1107,29,Đậu hũ hoàng kim,95040.0
274,1107,29,Đậu hũ hoàng kim,95040.0
275,1530,29,Tai heo sốt trứ danh San Fu Lou,95040.0
276,1530,29,Tai heo sốt trứ danh San Fu Lou,95040.0
277,1530,29,Tai heo sốt trứ danh San Fu Lou,95040.0
278,1530,29,Tai heo sốt trứ danh San Fu Lou,95040.0
279,413,29,Bắp bò kiểu Quảng Đông,138240.0
280,413,29,Bắp bò kiểu Quảng Đông,138240.0
281,413,29,Bắp bò kiểu Quảng Đông,138240.0
282,413,29,Bắp bò kiểu Quảng Đông,138240.0
283,834,29,Cà tím gà xé sốt giấm ớt,95040.0
284,834,29,Cà tím gà xé sốt giấm ớt,95040.0
285,834,29,Cà tím gà xé sốt giấm ớt,95040.0
286,834,29,Cà tím gà xé sốt giấm ớt,95040.0
287,1753,29,Súp hải sản chua cay,95040.0
288,1753,29,Súp hải sản chua cay,95040.0
289,1753,29,Súp hải sản chua cay,95040.0
290,1753,29,Súp hải sản chua cay,95040.0
291,204,29,"Sườn heo hầm táo đỏ, củ sen",105840.0
292,204,29,"Sườn heo hầm táo đỏ, củ sen",105840.0
293,204,29,"Sườn heo hầm táo đỏ, củ sen",105840.0
294,204,29,"Sườn heo hầm táo đỏ, củ sen",105840.0
295,535,29,Vịt quay kiểu Hong Kong,246240.0
296,535,29,Vịt quay kiểu Hong Kong,246240.0
297,535,29,Vịt quay kiểu Hong Kong,246240.0
298,535,29,Vịt quay kiểu Hong Kong,246240.0
299,283,29,"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",343440.0
300,283,29,"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",343440.0
301,283,29,"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",343440.0
302,283,29,"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",343440.0
303,1531,29,Xá xíu San Fu Lou,181440.0
304,1531,29,Xá xíu San Fu Lou,181440.0
305,1531,29,Xá xíu San Fu Lou,181440.0
306,1531,29,Xá xíu San Fu Lou,181440.0
307,958,129,Tàu hủ tả pí lù,34000.0
308,1792,129,Tàu hủ truyền thống,20000.0
309,628,129,Tàu hủ thập cẩm,27000.0
