rest_name,rest_address,time_open,price,avg_score,quality_score,price_score,service_score,space_score,location_score,link
Xing Fu Tang Vietnam - Trà Sữa Đài Loan - Châu Văn Liêm,"9 Châu Văn Liêm, P. 14, Quận 5, TP. HCM",09:00 - 22:00,40.000 - 70.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/xing-fu-tang-vietnam-tra-sua-dai-loan-chau-van-liem
"Hủ Tiếu, Bánh Canh & Cơm Tấm - Gia Thành - 36C Mai Hắc Đế","36C Mai Hắc Đế, P. Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội",06:30 - 22:00,18.000 - 55.000,6.5,6.4,6.0,5.9,7.0,7.3,https://www.foody.vn/ha-noi/hu-tieu-banh-canh-com-tam-gia-thanh-36c-mai-hac-de
Bánh Mì Má Hải - Chung Cư Phú Thọ Thuận Việt,"C0.10 Chung Cư Phú Thọ Thuận Việt, 319 Lý Thường Kiệt, P. 15, Quận 10, TP. HCM",06:30 - 19:45,15.000 - 20.000,6.8,8.0,7.0,6.0,6.0,7.0,https://www.foody.vn/ho-chi-minh/banh-mi-ma-hai-chung-cu-phu-tho-thuan-viet
Xing Fu Tang Vietnam - Trà Sữa Đài Loan - Lê Thánh Tôn,"Tầng 3 Vincom Center 72A Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM",09:00 - 22:30,40.000 - 70.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/xing-fu-tang-vietnam-tra-sua-dai-loan-le-thanh-ton
Nét Huế - Lạc Trung,"57 Lạc Trung, P. Thanh Lương, Quận Hai Bà Trưng, Hà Nội",07:00 - 22:00,30.000 - 100.000,6.5,6.5,5.3,5.5,7.5,7.5,https://www.foody.vn/ha-noi/net-hue-lac-trung
Bánh Mì Má Hải - Dương Đức Hiền,"1 Dương Đức Hiền, P. Tây Thạnh, Quận Tân Phú, TP. HCM",06:00 - 09:00,15.000 - 20.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/banh-mi-ma-hai-duong-duc-hien
Xing Fu Tang Vietnam - Trà Sữa Đài Loan - Bùi Đằng Đoàn,"21 Bùi Bằng Đoàn, Khu Phố Hưng Vượng 3 - R16 - 2, P. Tân Phong, Quận 7, TP. HCM",09:00 - 22:30,40.000 - 70.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/xing-fu-tang-vietnam-tra-sua-dai-loan-bui-dang-doan
Nét Huế - Vincom Skylake Phạm Hùng,"Tầng 3, L3 - 12, Vincom Sky Lake Phạm Hùng, P. Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",07:00 - 22:00,30.000 - 60.000,,3.3,3.3,3.3,4.7,4.0,https://www.foody.vn/ha-noi/net-hue-vincom-skylake-pham-hung
Bánh Mì Chả Cá Má Hải - Hương Lộ 2,"875 Hương Lộ 2, P. Bình Trị Đông A, Quận Bình Tân, TP. HCM",06:00 - 09:30,12.000 - 15.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/banh-mi-cha-ca-ma-hai-huong-lo-2
Xing Fu Tang Vietnam - Trà Sữa Đài Loan - Giga Mall,"L5-31 Tầng 5 TTTM Gigamall, 240-242 Phạm Văn Đồng, P. Hiệp Bình Chánh, Tp. Thủ Đức, TP. HCM",08:45 - 22:00,40.000 - 70.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/xing-fu-tang-vietnam-tra-sua-dai-loan-giga-mall
