name_food,price_food,link_rest
"Xíu mại nấm hương thịt cua, trứng cá 6 pcs",105840.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-vincom-center
Bánh tráng nướng thập cẩm,16000.0,https://www.foody.vn/ho-chi-minh/nhi-nhi-quan-dac-san-phan-rang
Nem chua nướng,13000.0,https://www.foody.vn/ho-chi-minh/nhi-nhi-quan-dac-san-phan-rang
Bánh tráng nướng trứng,9000.0,https://www.foody.vn/ho-chi-minh/nhi-nhi-quan-dac-san-phan-rang
Hoành thánh chiên giòn với giấm chua ngọt,95040.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-quang-trung
Bánh tráng nướng trứng + ruốc,12000.0,https://www.foody.vn/ho-chi-minh/nhi-nhi-quan-dac-san-phan-rang
Tai heo sốt trứ danh San Fu Lou,95040.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-quang-trung
Bánh tráng nướng trứng + tóp mỡ,15000.0,https://www.foody.vn/ho-chi-minh/nhi-nhi-quan-dac-san-phan-rang
Bắp bò kiểu Quảng Đông,138240.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-quang-trung
Cút lộn xào me,22000.0,https://www.foody.vn/ho-chi-minh/nhi-nhi-quan-dac-san-phan-rang
Chả Giò Quảng Đông,95040.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-quang-trung
Bánh tráng nướng trứng + nem,14000.0,https://www.foody.vn/ho-chi-minh/nhi-nhi-quan-dac-san-phan-rang
Vịt quay kiểu Hong Kong,246240.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-quang-trung
Chả cuốn,16000.0,https://www.foody.vn/ho-chi-minh/nhi-nhi-quan-dac-san-phan-rang
Caesar salad - salad sốt kem phô mai thịt xông khói,95000.0,https://www.foody.vn/ho-chi-minh/fumo-steak-pasta-bar
"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",343440.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-quang-trung
Bánh tráng nướng không trứng,8000.0,https://www.foody.vn/ho-chi-minh/nhi-nhi-quan-dac-san-phan-rang
Súp kem nấm,80000.0,https://www.foody.vn/ho-chi-minh/fumo-steak-pasta-bar
Xá xíu San Fu Lou,181440.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-quang-trung
Bánh mỡ hành,12000.0,https://www.foody.vn/ho-chi-minh/nhi-nhi-quan-dac-san-phan-rang
Salad cá tầm sốt Fumo đặc biệt,109000.0,https://www.foody.vn/ho-chi-minh/fumo-steak-pasta-bar
Ba rọi quay da giòn,203040.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-quang-trung
Chicken nuggets salad - salad gà giòn sốt kem tỏi,95000.0,https://www.foody.vn/ho-chi-minh/fumo-steak-pasta-bar
Gà quay sả sốt mè,213840.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-quang-trung
Apple salad - Salad Táo,95000.0,https://www.foody.vn/ho-chi-minh/fumo-steak-pasta-bar
Chân gà hấp tàu xì,73440.0,https://www.foody.vn/ho-chi-minh/san-fu-lou-am-thuc-quang-dong-quang-trung
